[1221/154255.701:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1222/100222.453:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/100227.469:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132505.709:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132505.746:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132510.724:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132510.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132515.741:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132515.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132520.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132520.784:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132525.771:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132525.805:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132530.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132530.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132535.786:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/132535.818:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/134109.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1222/134109.402:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1223/002032.680:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1223/122558.826:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1223/152726.547:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
